nn,2,nn,list64k.txt -r 5 -lat 30 -lng 60
nn,3,nn,list128k.txt -r 5 -lat 50 -lng 90
nn,4,nn,list512k.txt -r 5 -lat 40 -lng 90
nn,5,nn,list1024k.txt -r 5 -lat 30 -lng 20
nn,6,nn,list2048k.txt -r 5 -lat 30 -lng 70
nn,7,nn,list4096k.txt -r 5 -lat 20 -lng 40
nn,8,nn,list8192k.txt -r 5 -lat 30 -lng 50
nn,9,nn,list16384k.txt -r 5 -lat 30 -lng 60
nn,10,nn,list32768k.txt -r 5 -lat 50 -lng 60
heartwall,8,heartwall,./sample6.avi 1024
heartwall,9,heartwall,./sample7.avi 500
heartwall,11,heartwall,./sample9.avi 480
heartwall,12,heartwall,./sample10.avi 500
gesummv,8,gesummv36000 ,
mvt,8,mvt36000 ,
transpose,6,transpose,-dimX=4000 -dimY=4000